item_id,supplier_id,avg_unit_price,avg_delivery_days,rating,defect_rate,chosen
1071,2063,5.85,3,3.51,0.023,0
1074,2079,4.31,4,4.11,0.054,0
1086,2088,6.05,3,3.75,0.054,0
1071,2043,6.18,6,4.33,0.063,0
1087,2075,5.69,4,3.45,0.044,0
1029,2020,3.73,3,4.18,0.024,0
1092,2063,2.66,3,4.67,0.044,1
1014,2091,6.05,4,4.53,0.035,0
1086,2088,4.75,5,4.08,0.015,0
1037,2063,6.82,5,3.41,0.043,0
1087,2041,1.93,5,3.73,0.046,0
1087,2006,4.08,4,3.51,0.024,0
1086,2072,4.91,4,5.0,0.042,0
1029,2061,5.45,2,3.49,0.034,0
1051,2080,5.2,4,4.55,0.037,0
1020,2007,2.8,4,4.15,0.011,0
1002,2050,4.38,2,4.03,0.045,0
1074,2048,4.51,3,4.07,0.039,0
1082,2080,2.98,2,4.26,0.005,1
1087,2057,7.92,3,3.75,0.014,0
1014,2002,4.28,3,3.15,0.055,0
1071,2054,4.98,3,4.61,0.009,0
1099,2001,3.86,4,4.17,0.037,0
1074,2059,4.88,3,4.92,0.051,0
1021,2013,1.25,5,5.0,0.055,1
1071,2002,4.68,3,4.56,0.018,0
1014,2008,5.53,3,4.81,0.022,0
1074,2091,4.34,4,5.0,0.032,0
1037,2063,4.38,4,4.56,0.011,0
1029,2041,4.2,5,4.41,0.0,0
1014,2059,5.72,4,3.78,0.044,0
1086,2035,7.81,4,3.89,0.02,0
1074,2075,5.02,4,4.23,0.04,0
1086,2057,4.78,4,4.68,0.009,0
1023,2061,5.16,4,4.66,0.025,0
1021,2091,5.98,5,3.28,0.053,0
1099,2090,3.52,2,2.76,0.014,0
1099,2054,4.99,3,3.97,0.008,0
1082,2070,6.3,4,4.41,0.0,0
1074,2007,8.41,4,4.47,0.0,0
1014,2001,4.98,4,4.13,0.047,0
1020,2013,6.95,2,4.63,0.038,0
1086,2090,4.99,2,4.94,0.038,0
1021,2002,2.33,3,4.36,0.04,1
1074,2091,4.81,4,5.0,0.061,0
1087,2059,3.58,3,4.14,0.0,1
1087,2035,2.99,2,3.63,0.058,0
1092,2059,3.72,2,4.64,0.021,1
1092,2061,5.63,3,3.3,0.039,0
1023,2061,2.67,3,3.83,0.034,0
1014,2091,4.17,3,3.42,0.07,0
1029,2046,3.2,5,4.27,0.033,0
1087,2091,5.53,2,4.68,0.02,0
1052,2050,6.82,3,4.01,0.004,0
1021,2048,3.85,4,3.55,0.0,0
1074,2088,3.71,4,5.0,0.016,0
1086,2077,2.68,3,4.29,0.042,1
1087,2013,8.2,4,5.0,0.021,0
1074,2077,5.13,3,3.86,0.025,0
1029,2020,4.58,3,3.93,0.052,0
1029,2050,8.17,3,4.04,0.04,0
1099,2059,9.78,4,4.69,0.061,0
1060,2088,5.52,4,4.5,0.051,0
1052,2075,3.45,4,4.44,0.039,0
1092,2021,6.71,4,3.63,0.042,0
1060,2091,3.68,3,3.99,0.028,0
1020,2043,2.68,5,3.62,0.061,0
1002,2001,3.31,5,4.19,0.0,0
1014,2002,3.44,5,4.42,0.028,0
1023,2001,1.67,5,5.0,0.064,0
1021,2059,4.08,4,4.45,0.0,0
1074,2008,5.27,5,4.58,0.008,0
1051,2043,3.71,4,4.52,0.0,0
1071,2043,1.32,3,3.91,0.024,1
1087,2080,4.38,4,4.25,0.035,0
1074,2035,2.99,1,4.76,0.073,1
1087,2021,4.49,4,4.36,0.064,0
1074,2020,6.33,4,4.23,0.031,0
1020,2038,2.84,3,4.64,0.025,1
1051,2034,5.07,2,4.42,0.001,0
1074,2088,5.43,3,3.33,0.051,0
1020,2088,4.75,5,4.94,0.012,0
1071,2091,3.81,2,3.41,0.022,0
1074,2091,7.17,2,4.63,0.045,0
1001,2001,5.83,4,3.65,0.045,0
1082,2048,4.18,1,4.23,0.013,1
1099,2080,7.04,3,4.22,0.038,0
1020,2013,4.6,3,4.62,0.009,0
1001,2001,3.95,3,4.92,0.016,1
1037,2061,4.79,3,4.05,0.015,0
1052,2063,5.69,2,3.52,0.019,0
1071,2063,3.8,2,4.04,0.0,1
1074,2079,7.59,2,3.88,0.022,0
1092,2079,7.53,2,4.27,0.051,0
1029,2075,4.54,2,4.15,0.061,0
1014,2034,4.08,5,4.33,0.055,0
1052,2032,5.33,3,5.0,0.035,0
1087,2035,5.25,4,4.66,0.046,0
1060,2088,2.97,3,3.87,0.014,1
1052,2008,3.69,3,4.37,0.04,0
1020,2014,5.0,3,4.84,0.028,0
1001,2001,6.41,3,4.41,0.057,0
1002,2091,1.09,3,4.5,0.054,1
1087,2080,5.3,4,5.0,0.055,0
1082,2046,3.7,4,4.38,0.064,0
1074,2050,6.3,3,4.31,0.0,0
1099,2072,6.45,4,4.81,0.027,0
1001,2072,5.19,3,3.63,0.018,0
1071,2079,2.27,4,3.11,0.071,0
1086,2032,2.35,5,3.75,0.041,0
1087,2063,3.87,5,4.22,0.051,0
1029,2008,5.11,4,4.51,0.019,0
1086,2052,3.08,2,4.23,0.02,1
1086,2001,1.78,4,3.59,0.007,1
1014,2046,4.94,3,4.26,0.069,0
1092,2059,4.43,2,4.29,0.014,1
1014,2059,5.04,4,4.18,0.031,0
1087,2032,5.29,5,4.07,0.033,0
1001,2079,6.3,4,4.02,0.048,0
1074,2070,3.69,3,3.81,0.042,0
1052,2091,6.78,4,4.24,0.012,0
1087,2088,3.95,2,3.11,0.022,0
1029,2089,4.55,6,4.98,0.041,0
1052,2079,8.13,5,3.2,0.051,0
1052,2006,6.07,3,3.49,0.042,0
1082,2057,1.88,3,3.89,0.005,1
1071,2070,6.78,3,4.29,0.048,0
1002,2054,4.99,4,4.61,0.041,0
1002,2006,5.43,5,4.82,0.028,0
1021,2034,3.64,4,4.31,0.064,0
1092,2043,6.48,4,4.21,0.012,0
1071,2020,4.7,4,3.34,0.055,0
1023,2034,8.1,2,3.5,0.035,0
1087,2057,4.13,4,4.16,0.01,0
1086,2041,6.93,4,3.92,0.06,0
1082,2013,4.24,2,4.29,0.037,0
1021,2088,5.8,4,4.46,0.04,0
1002,2058,4.14,3,4.57,0.035,0
1074,2038,6.23,2,3.95,0.068,0
1086,2032,5.83,4,4.55,0.074,0
1021,2008,8.0,2,3.59,0.0,0
1071,2020,3.88,4,4.32,0.0,0
1087,2001,2.2,3,4.66,0.052,1
1014,2080,7.56,3,4.61,0.05,0
1086,2090,4.25,4,4.53,0.012,0
1002,2003,7.46,3,4.24,0.011,0
1052,2091,3.83,1,4.23,0.08,1
1023,2020,3.47,6,4.91,0.021,0
1020,2002,5.04,3,5.0,0.04,0
1051,2002,6.77,4,4.14,0.037,0
1074,2038,4.39,2,4.61,0.0,1
1074,2020,4.6,3,4.52,0.061,0
1087,2070,6.81,4,3.89,0.026,0
1052,2048,4.51,3,4.0,0.021,0
1082,2061,4.29,4,3.67,0.015,0
1082,2020,2.62,5,3.8,0.043,0
1029,2077,5.71,5,4.09,0.011,0
1087,2020,2.67,1,4.28,0.046,1
1087,2020,5.71,2,4.72,0.016,0
1092,2052,3.64,3,4.24,0.0,1
1052,2088,4.94,4,4.75,0.034,0
1001,2090,2.99,4,3.67,0.008,0
1092,2088,2.96,2,3.92,0.053,1
1014,2058,8.38,3,4.74,0.022,0
1014,2001,2.52,4,4.32,0.066,0
1014,2043,2.7,6,5.0,0.03,0
1086,2050,4.55,3,4.25,0.026,0
1071,2089,5.77,3,4.91,0.033,0
1086,2052,4.61,5,3.39,0.037,0
1037,2059,5.04,2,3.35,0.05,0
1037,2075,6.44,4,5.0,0.039,0
1002,2070,6.87,4,4.06,0.009,0
1029,2089,4.09,3,4.88,0.045,0
1001,2061,5.5,4,4.46,0.035,0
1074,2091,2.75,5,3.97,0.052,0
1087,2079,6.78,3,4.67,0.023,0
1074,2050,4.47,4,4.34,0.031,0
1060,2070,3.0,3,5.0,0.0,1
1074,2038,6.3,5,3.52,0.021,0
1087,2080,3.5,5,4.75,0.053,0
1014,2001,5.18,5,4.2,0.057,0
1021,2083,4.78,3,5.0,0.03,0
1029,2057,3.65,3,3.75,0.047,0
1014,2013,4.85,6,4.79,0.035,0
1082,2088,7.11,3,3.27,0.01,0
1074,2088,5.22,3,4.61,0.028,0
1099,2032,6.12,5,4.14,0.041,0
1086,2063,2.37,3,3.58,0.033,1
1074,2090,5.35,4,3.96,0.076,0
1021,2013,3.1,2,5.0,0.016,1
1074,2083,3.58,6,4.69,0.018,0
1001,2001,5.33,5,4.55,0.056,0
1087,2046,6.21,4,4.22,0.03,0
1071,2088,5.4,4,4.06,0.032,0
1074,2021,4.53,4,3.57,0.082,0
1071,2077,3.9,3,3.79,0.042,0
1087,2048,4.71,3,4.53,0.046,0
1074,2061,4.9,3,5.0,0.037,0
1037,2091,3.09,5,3.77,0.085,0
1087,2091,5.12,5,3.16,0.004,0
1074,2088,7.0,4,5.0,0.04,0
1052,2014,5.22,5,4.71,0.026,0
1092,2075,3.36,1,3.98,0.006,1
1002,2061,8.9,3,3.86,0.0,0
1092,2001,4.6,3,5.0,0.033,0
1087,2035,4.99,3,4.59,0.021,0
1060,2091,6.0,5,4.43,0.025,0
1074,2090,3.57,3,4.48,0.0,1
1021,2008,6.25,4,4.13,0.017,0
1002,2008,4.29,4,4.14,0.02,0
1051,2021,5.7,4,3.58,0.041,0
1014,2007,8.75,4,3.35,0.034,0
1060,2013,2.25,7,5.0,0.017,0
1092,2063,1.63,3,4.11,0.0,1
1029,2008,4.9,3,4.26,0.035,0
1060,2020,3.55,3,4.22,0.017,0
1060,2059,6.36,4,5.0,0.046,0
1074,2063,6.66,4,4.28,0.065,0
1092,2054,4.43,4,4.07,0.025,0
1082,2043,3.25,3,3.74,0.042,0
1086,2070,6.56,3,4.31,0.027,0
1071,2054,3.78,4,4.53,0.0,0
1087,2006,4.58,3,4.0,0.017,0
1037,2077,4.93,3,4.02,0.052,0
1060,2079,5.84,3,3.92,0.04,0
1020,2058,5.74,3,4.08,0.067,0
1002,2063,4.12,5,4.75,0.065,0
1020,2077,4.06,3,3.98,0.053,0
1087,2006,4.15,4,4.54,0.029,0
1086,2061,6.95,4,4.62,0.02,0
1020,2007,3.91,4,4.42,0.035,0
1071,2002,4.48,5,3.64,0.007,0
1092,2017,6.41,4,4.38,0.024,0
1086,2041,5.75,5,5.0,0.0,0
1021,2054,4.37,3,5.0,0.0,1
1074,2059,5.77,3,5.0,0.06,0
1086,2063,5.55,2,3.91,0.021,0
1082,2050,3.01,5,3.47,0.069,0
1087,2061,7.94,3,4.36,0.029,0
1014,2035,6.35,5,4.33,0.039,0
1074,2054,4.07,4,4.28,0.012,0
1001,2050,4.98,3,3.9,0.007,0
1087,2050,5.09,3,3.96,0.052,0
1051,2021,5.95,3,4.38,0.033,0
1074,2058,7.55,5,3.43,0.047,0
1029,2014,6.9,4,4.03,0.078,0
1092,2057,5.98,5,4.88,0.039,0
1037,2020,4.13,3,4.09,0.006,0
1099,2034,5.98,5,4.05,0.073,0
1087,2020,2.66,5,5.0,0.026,0
1037,2088,4.72,5,4.45,0.0,0
1071,2002,3.73,3,3.52,0.021,0
1029,2041,2.98,3,4.03,0.037,0
1074,2059,4.86,4,4.39,0.051,0
1002,2001,6.31,4,5.0,0.037,0
1001,2013,8.89,4,4.16,0.023,0
1082,2063,7.26,5,4.5,0.053,0
1002,2032,3.08,2,4.82,0.027,1
1087,2083,6.12,3,5.0,0.0,0
1087,2070,2.92,5,2.9,0.038,0
1071,2034,4.84,3,4.1,0.013,0
1074,2088,7.31,5,3.86,0.036,0
1074,2070,3.01,5,4.72,0.024,0
1002,2061,5.03,3,3.39,0.061,0
1023,2007,3.85,3,4.12,0.05,0
1074,2008,4.11,2,3.76,0.038,0
1060,2041,8.28,2,3.55,0.0,0
1002,2070,2.54,5,4.95,0.034,0
1023,2043,4.3,5,4.29,0.052,0
1020,2083,4.23,4,3.58,0.043,0
1029,2046,5.29,3,3.76,0.062,0
1023,2008,7.96,3,4.23,0.038,0
1051,2046,5.22,2,4.41,0.0,0
1074,2091,3.9,4,4.5,0.014,0
1002,2052,4.31,3,4.15,0.029,0
1037,2059,6.0,3,4.39,0.04,0
1087,2038,5.3,3,4.29,0.045,0
1021,2072,6.26,5,3.7,0.021,0
1082,2088,2.58,4,4.03,0.034,0
1052,2077,4.09,3,4.81,0.044,0
1020,2070,4.83,4,4.59,0.022,0
1014,2061,2.8,3,3.53,0.053,0
1001,2070,7.01,5,3.19,0.051,0
1037,2050,8.32,5,3.12,0.065,0
1014,2080,5.06,3,4.43,0.009,0
1086,2043,5.0,5,4.51,0.031,0
1074,2059,5.13,2,4.13,0.0,0
1082,2048,6.53,1,4.63,0.05,0
1051,2059,6.98,4,4.66,0.027,0
1086,2017,3.22,5,4.15,0.002,0
1037,2035,4.3,3,4.43,0.077,0
1014,2038,5.78,4,5.0,0.05,0
1002,2091,5.38,3,4.36,0.029,0
1029,2041,5.14,5,3.93,0.04,0
1023,2003,6.42,3,3.79,0.027,0
1023,2079,4.31,5,3.7,0.031,0
1060,2059,8.82,4,4.49,0.053,0
1051,2080,4.31,2,4.29,0.035,0
1071,2035,2.57,4,4.73,0.012,1
1002,2059,5.65,4,4.49,0.044,0
1020,2007,4.63,2,3.98,0.018,0
1001,2038,4.88,5,3.54,0.033,0
1092,2008,3.4,3,4.48,0.006,1
1086,2021,6.1,2,4.53,0.0,0
1021,2088,4.07,5,5.0,0.022,0
1021,2070,5.58,5,4.54,0.025,0
1001,2008,3.88,4,4.77,0.064,0
1037,2061,2.47,2,4.78,0.0,1
1021,2083,6.86,3,3.94,0.034,0
1001,2020,2.98,4,5.0,0.047,0
1087,2072,4.63,2,3.45,0.003,0
1020,2077,4.98,4,4.63,0.0,0
1052,2072,6.97,4,4.04,0.006,0
1074,2080,6.87,3,4.19,0.038,0
1086,2091,3.63,3,4.63,0.045,0
1074,2035,6.16,2,4.08,0.022,0
1001,2003,5.64,4,4.28,0.079,0
1086,2061,4.56,3,3.62,0.0,0
1021,2032,3.17,3,4.86,0.031,1
1074,2079,5.29,3,4.38,0.058,0
1074,2050,2.01,5,2.94,0.031,0
1087,2013,8.29,4,4.39,0.07,0
1014,2088,3.95,4,4.49,0.02,0
1060,2059,4.35,3,4.24,0.041,0
1023,2007,5.18,4,3.22,0.026,0
1060,2046,3.46,4,4.34,0.028,0
1082,2032,5.77,4,4.17,0.009,0
1002,2006,2.63,4,4.32,0.011,0
1087,2013,6.09,3,3.37,0.055,0
1021,2006,6.72,1,3.92,0.018,0
1092,2091,7.46,3,3.45,0.048,0
1002,2002,3.15,3,3.82,0.019,0
1029,2007,6.41,5,3.56,0.043,0
1051,2080,3.9,3,4.45,0.009,0
1029,2002,5.71,4,3.98,0.057,0
1052,2001,3.09,5,3.23,0.084,0
1099,2046,4.39,2,4.08,0.009,1
1023,2006,5.58,5,3.7,0.042,0
1087,2077,2.7,5,4.41,0.052,0
1087,2001,4.82,3,4.61,0.004,0
1086,2003,2.39,3,4.01,0.041,1
1086,2061,6.64,4,4.71,0.036,0
1002,2003,5.74,3,4.43,0.033,0
1051,2002,5.49,3,4.6,0.016,0
1087,2070,4.97,5,3.73,0.0,0
1023,2034,5.55,3,4.71,0.027,0
1020,2038,4.09,3,4.75,0.042,0
1060,2083,1.35,4,4.32,0.03,1
1087,2063,4.08,5,4.82,0.0,0
1023,2052,3.8,3,4.67,0.031,0
1029,2070,3.97,4,4.09,0.028,0
1051,2075,4.96,4,4.05,0.044,0
1002,2088,4.89,2,4.18,0.01,0
1021,2058,5.06,4,3.66,0.037,0
1092,2014,3.76,4,4.63,0.0,0
1023,2061,3.33,3,4.36,0.027,0
1082,2038,4.93,6,3.59,0.053,0
1087,2050,4.48,4,5.0,0.044,0
1023,2061,5.56,5,4.76,0.014,0
1002,2014,5.44,2,3.93,0.036,0
1014,2017,4.1,4,4.19,0.041,0
1051,2077,4.36,3,4.94,0.02,0
1087,2020,5.99,5,4.28,0.013,0
1099,2059,4.73,5,4.3,0.006,0
1014,2035,5.89,4,4.02,0.042,0
1092,2080,5.37,3,3.55,0.052,0
1051,2079,6.14,4,4.97,0.049,0
1082,2063,6.03,1,4.8,0.032,0
1037,2048,5.47,4,4.59,0.052,0
1086,2088,5.95,4,4.32,0.0,0
1052,2070,4.57,3,4.81,0.042,0
1071,2089,4.31,3,4.0,0.022,0
1082,2038,2.83,2,4.21,0.052,1
1074,2035,4.19,4,4.57,0.01,0
1099,2090,4.97,3,5.0,0.061,0
1037,2001,3.51,4,4.73,0.047,0
1071,2035,5.12,5,3.75,0.024,0
1020,2046,3.68,4,3.91,0.027,0
1071,2052,5.93,4,3.75,0.051,0
1051,2046,5.68,2,3.54,0.03,0
1029,2043,6.28,4,4.38,0.031,0
1023,2050,5.77,3,5.0,0.063,0
1082,2032,5.64,4,3.99,0.041,0
1029,2007,3.96,1,2.84,0.014,1
1086,2057,5.23,4,3.96,0.033,0
1074,2043,4.59,3,4.17,0.046,0
1037,2021,3.57,3,3.67,0.0,0
1029,2059,4.28,4,4.29,0.027,0
1099,2013,5.19,3,3.23,0.046,0
1002,2070,6.61,3,4.12,0.025,0
1099,2032,5.53,5,4.78,0.022,0
1001,2059,5.81,5,4.4,0.03,0
1087,2001,5.67,3,3.92,0.009,0
1002,2003,5.46,3,3.79,0.027,0
1071,2020,5.7,5,4.71,0.0,0
1099,2091,5.36,5,3.53,0.041,0
1021,2046,4.65,5,4.4,0.012,0
1060,2020,4.7,3,4.14,0.052,0
1020,2034,3.74,5,4.05,0.034,0
1001,2059,5.11,3,4.19,0.059,0
1074,2083,6.26,3,4.99,0.035,0
1087,2035,5.54,3,3.95,0.016,0
1052,2038,5.13,4,4.38,0.062,0
1002,2034,3.67,4,3.56,0.012,0
1029,2061,6.9,3,3.8,0.0,0
1087,2079,3.78,3,3.52,0.025,0
1014,2061,6.91,3,3.73,0.008,0
1021,2079,3.29,4,4.22,0.049,0
1021,2089,8.03,2,4.39,0.008,0
1037,2070,6.18,3,4.21,0.004,0
1023,2050,4.36,4,4.88,0.014,0
1051,2003,4.17,4,3.77,0.053,0
1087,2058,4.99,4,4.38,0.018,0
1052,2091,5.58,3,3.95,0.041,0
1099,2014,5.44,3,3.57,0.01,0
1087,2061,5.42,4,3.65,0.013,0
1037,2007,5.2,4,3.39,0.033,0
1074,2008,4.1,5,4.32,0.038,0
1051,2059,5.67,2,5.0,0.0,0
1082,2075,6.19,4,3.96,0.043,0
1086,2034,4.52,3,4.43,0.01,0
1002,2003,4.66,3,4.03,0.039,0
1087,2080,4.11,3,3.95,0.059,0
1086,2007,5.51,4,4.54,0.018,0
1052,2059,6.29,4,3.42,0.001,0
1052,2072,4.14,2,4.08,0.01,1
1051,2075,4.85,5,4.18,0.024,0
1074,2059,5.58,3,4.62,0.04,0
1023,2007,5.06,4,5.0,0.049,0
1086,2046,8.3,4,3.46,0.025,0
1029,2063,2.45,4,4.57,0.012,1
1052,2008,4.02,4,3.6,0.005,0
1001,2054,6.86,4,3.92,0.0,0
1002,2077,6.28,3,5.0,0.047,0
1087,2050,3.79,3,5.0,0.028,1
1099,2007,4.23,4,3.94,0.035,0
1021,2061,4.89,4,4.01,0.012,0
1074,2014,4.48,3,4.16,0.043,0
1086,2021,5.87,5,3.79,0.038,0
1082,2061,6.09,3,4.1,0.0,0
1071,2077,6.36,3,4.6,0.034,0
1087,2080,4.72,2,3.49,0.0,0
1020,2041,4.16,6,3.56,0.0,0
1082,2077,6.44,6,4.35,0.036,0
1052,2061,4.54,2,3.47,0.024,0
1029,2080,4.24,3,4.61,0.018,0
1001,2001,6.27,3,4.72,0.032,0
1074,2057,4.35,4,4.05,0.032,0
1082,2061,6.14,3,4.02,0.008,0
1086,2063,5.87,4,3.61,0.047,0
1020,2046,3.2,5,4.54,0.038,0
1051,2046,4.43,4,4.74,0.042,0
1087,2088,3.99,4,4.77,0.074,0
1074,2059,4.69,4,4.77,0.014,0
1092,2008,7.67,2,4.6,0.036,0
1074,2007,5.08,6,4.05,0.024,0
1060,2091,7.0,4,4.84,0.032,0
1052,2057,5.48,5,3.78,0.028,0
1051,2089,6.2,3,3.91,0.042,0
1074,2017,7.0,3,4.12,0.017,0
1052,2072,4.56,5,4.24,0.014,0
1087,2058,5.39,5,3.92,0.003,0
1092,2014,8.29,2,4.02,0.035,0
1052,2021,4.59,3,4.49,0.0,0
1014,2050,3.1,4,4.0,0.033,0
1052,2032,5.34,1,4.84,0.02,1
1029,2091,3.7,4,4.25,0.054,0
1092,2048,5.41,5,3.73,0.033,0
1060,2089,3.33,4,4.14,0.027,0
1074,2075,4.78,4,3.4,0.012,0
1086,2021,4.94,2,4.22,0.029,0
1087,2080,2.89,2,2.89,0.006,1
1002,2001,5.02,4,4.3,0.014,0
1037,2083,4.97,4,3.57,0.032,0
1086,2035,5.98,3,4.73,0.021,0
1001,2002,3.71,4,5.0,0.032,0
1021,2072,5.95,3,3.58,0.033,0
1074,2052,5.49,3,4.52,0.017,0
1002,2046,3.65,5,4.73,0.017,0
1029,2083,7.58,3,4.24,0.028,0
1092,2083,5.79,4,4.33,0.01,0
1071,2080,2.47,5,3.93,0.029,0
1082,2091,5.49,5,4.28,0.022,0
1082,2014,4.21,3,3.75,0.031,0
1014,2090,4.92,5,4.16,0.0,0
1086,2058,9.01,4,5.0,0.007,0
1087,2032,4.67,4,4.47,0.036,0
1020,2001,1.7,2,4.96,0.064,1
1002,2072,4.84,5,3.69,0.014,0
1037,2017,3.35,3,4.56,0.013,1
1074,2059,8.36,4,4.74,0.04,0
1086,2061,6.82,3,4.92,0.033,0
1074,2007,6.81,2,4.29,0.033,0
1021,2032,4.07,4,4.97,0.016,0
1086,2014,6.44,2,5.0,0.046,0
1029,2070,7.59,4,4.4,0.046,0
1082,2020,4.8,2,4.42,0.015,0
1071,2013,3.35,4,4.06,0.051,0
1086,2059,3.82,3,4.78,0.036,0
1060,2061,2.78,4,4.94,0.02,1
1060,2032,5.9,3,4.13,0.052,0
1092,2090,5.33,5,4.41,0.074,0
1074,2001,2.65,3,3.66,0.01,1
1029,2061,3.49,4,4.31,0.039,0
1021,2021,3.32,3,3.72,0.049,0
1021,2007,3.69,3,4.48,0.018,0
1074,2007,6.04,5,4.29,0.048,0
1023,2061,1.89,3,4.29,0.009,1
1001,2013,5.31,5,3.26,0.006,0
1052,2072,5.28,4,4.57,0.032,0
1014,2001,5.69,4,3.99,0.018,0
1092,2020,4.75,4,3.87,0.022,0
1087,2001,5.6,4,4.11,0.0,0
1074,2063,4.99,3,4.69,0.024,0
1014,2059,3.51,3,4.84,0.043,0
1029,2052,5.33,2,5.0,0.018,0
1051,2080,6.4,3,4.62,0.056,0
1074,2089,5.97,4,4.15,0.021,0
1092,2080,5.21,3,5.0,0.01,0
1020,2017,6.5,4,4.31,0.06,0
1001,2059,5.45,3,4.35,0.026,0
1021,2061,5.75,4,3.77,0.054,0
